Server initialized for threading.
INFO:engineio.server:Server initialized for threading.
 * Serving Flask app 'app'
 * Debug mode: on
Address already in use
Port 3001 is in use by another program. Either identify and stop that program, or start the server with a different port.
2025-02-03 22:04:28,635 - rps_game - INFO - Match result: Draw
2025-02-03 22:04:28,639 - rps_game - INFO - Match result saved to database
2025-02-03 22:04:28,650 - rps_game - INFO - Match result: Draw
2025-02-03 22:04:28,650 - rps_game - INFO - Match result: Draw
2025-02-03 22:04:28,652 - rps_game - INFO - Match result saved to database
2025-02-03 22:04:28,652 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,701 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,703 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,709 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,709 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,711 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,711 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,716 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,716 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,716 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,717 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,717 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,717 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,724 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,724 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,724 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,724 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,725 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,725 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,725 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,725 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,736 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,736 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,736 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,736 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,736 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,737 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,737 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,737 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,737 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,737 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,744 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,744 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,744 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,744 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,744 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,744 - rps_game - INFO - Match result: Draw
2025-02-04 13:39:15,745 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,745 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,745 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,745 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,745 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,745 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,762 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,762 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,762 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,762 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,762 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,762 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,762 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,766 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,766 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,766 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,766 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,766 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,766 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,766 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,768 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,768 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,768 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,768 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,768 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,768 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,768 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,768 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,768 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,768 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,768 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,768 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,768 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,768 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,768 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,768 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,775 - rps_game - INFO - Match result: Creator wins
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 13:39:15,777 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,841 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,842 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,859 - rps_game - INFO - Match result: Joiner wins
2025-02-04 14:54:18,859 - rps_game - INFO - Match result: Joiner wins
2025-02-04 14:54:18,861 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,861 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,867 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,867 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,867 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,868 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,868 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,868 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,875 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,875 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,875 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,875 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,876 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,876 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,876 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,876 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,887 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,887 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,887 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,887 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,887 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,888 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,888 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,888 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,888 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,888 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,894 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,894 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,894 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,894 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,894 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,894 - rps_game - INFO - Match result: Draw
2025-02-04 14:54:18,895 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,895 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,895 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,895 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,895 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,895 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,906 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,906 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,906 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,906 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,906 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,906 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,906 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,907 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,907 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,907 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,907 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,907 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,907 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,907 - rps_game - INFO - Match result saved to database
2025-02-04 14:54:18,909 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,909 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,909 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,909 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,909 - rps_game - INFO - Match result: Creator wins
2025-02-04 14:54:18,909 - rps_game - INFO - Match result: Creator wins
